cycle,type,temperature,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct
41,3,24,-1-1i,-1-1i,1-0i,-0.4389262483032638-0.107298295835479i,0.07006937798290404-0.0004799846907817894i,0.06945627304536996,0.04466870036616091
41,3,24,820.6094970703125+36.23455047607422i,337.0914611816406+82.9207763671875i,2.320414517863344-0.4633045948164565i,0.130088406517765-0.1971148102961237i,0.06817886114940203-0.001190040925296937i,0.06945627304536996,0.04466870036616091
41,3,24,827.2421875+48.23122787475586i,330.6315612792969+70.01371765136719i,2.424192647592199-0.3674649546951533i,0.05877056050413323+0.03330656583655633i,0.06793257733714593-5.682681193650706e-05i,0.06945627304536996,0.04466870036616091
41,3,24,827.1934814453125+56.19571685791016i,330.8086242675781+61.73442459106445i,2.447002171211698-0.2867777536482664i,0.005813511636674673-0.0605465481419562i,0.06691839226387165-0.0008787264015490232i,0.06945627304536996,0.04466870036616091
41,3,24,824.9295043945312+53.24147796630859i,332.6826782226562+57.62901306152344i,2.434304977711638-0.2616460702282485i,0.1260810666870097-0.09044390544679616i,0.06807105294348659-0.0001974802021297548i,0.06945627304536996,0.04466870036616091
41,3,24,824.9591674804688+62.82540893554688i,333.5610046386719+49.79308319091797i,2.446780941324875-0.176901248063198i,0.2210551920556118-0.004125781015240486i,0.06657097005879097-0.0005844149241307191i,0.06945627304536996,0.04466870036616091
41,3,24,824.055908203125+61.66999053955078i,335.2730102539062+50.34455490112305i,2.430678762871402-0.1810508094249891i,0.2448736898495738+0.09777460899986783i,0.06841817772280893-0.0009573641720606558i,0.06945627304536996,0.04466870036616091
41,3,24,822.727294921875+66.03501892089844i,334.7919006347656+44.27913665771484i,2.440820169245567-0.1255776822268409i,0.2351136918696261+0.1653477764256604i,0.06772414798679977-0.0004767536238616359i,0.06945627304536996,0.04466870036616091
41,3,24,822.4074096679688+65.79927062988281i,338.4878845214844+44.11129760742188i,2.413987183747575-0.1201958424905644i,0.2237034830463142+0.1944563193777697i,0.06579331626644688-0.0006445539965625643i,0.06945627304536996,0.04466870036616091
41,3,24,821.6346435546875+65.82272338867188i,337.3775939941406+43.38906860351562i,2.420414631983808-0.1161808425490975i,0.221354008047284+0.1936943606900116i,0.06682466747217389-0.0008028394398595097i,0.06945627304536996,0.04466870036616091
41,3,24,821.9317626953125+60.49991607666016i,337.5492858886719+36.7155876159668i,2.425793226815918-0.08462322059285719i,0.225886181316762+0.1716624874058333i,0.0662655499601463-0.00088302206125567i,0.06945627304536996,0.04466870036616091
41,3,24,819.4171142578125+59.57415008544922i,340.5289916992188+36.2461051940918i,2.397762127278796-0.08027330675695321i,0.230807853985629+0.1358175794946598i,0.06742609767221985-0.001229526308046882i,0.06945627304536996,0.04466870036616091
41,3,24,822.7410278320312+61.60417556762695i,340.694091796875+36.04493713378906i,2.407083835856715-0.07384633481283914i,0.2304830693415867+0.09335292950733667i,0.06717687964316375-0.001568265195772728i,0.06945627304536996,0.04466870036616091
41,3,24,817.8121337890625+60.69928741455078i,339.4906005859375+36.08020782470703i,2.400823787546432-0.07635832552030465i,0.2224336341131808+0.05098004955236859i,0.06551759760193931-0.001140192576177019i,0.06945627304536996,0.04466870036616091
41,3,24,821.7554321289062+61.28196716308594i,339.8718872070312+37.11532974243164i,2.408803081724936-0.08274162870843879i,0.2074661882867056+0.01388186694506969i,0.06637541461339663-0.0009963224748292551i,0.06945627304536996,0.04466870036616091
41,3,24,820.817138671875+39.47479248046875i,340.4727783203125+28.23383903503418i,2.403899513400889-0.08340320062408589i,0.1884670601495647-0.01509504294570624i,0.06363403620715938-0.001630561315367746i,0.06945627304536996,0.04466870036616091
