cycle,type,temperature,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_impedance,Re,Rct
41,3,24,641.7734375+13.88265800476074i,516.898681640625+104.6926879882812i,1.197884157285429-0.2157619244956158i,0.003340930844086225-0.3359955219854591i,0.07994738304328833-0.0008659307828382606i,0.0785415394665875,0.06123359021000344
41,3,24,810.7418823242188+38.86881256103516i,345.4414672851562+80.02973937988281i,2.252161312751339-0.4092475389563169i,0.1615249183154675-0.01359266498641957i,0.0790280314434892-0.001102177730838676i,0.0785415394665875,0.06123359021000344
41,3,24,813.673583984375+42.631103515625i,344.1472473144531+76.89897918701172i,2.278247153595212-0.3851949360804742i,0.01263650746464321+0.02340767649234262i,0.07910086611835521-0.001381129382913405i,0.0785415394665875,0.06123359021000344
41,3,24,806.3294067382812+50.92262268066406i,353.1866455078125+67.70503997802734i,2.228749190723966-0.2830654319745129i,0.02917017344448517-0.07029643852636713i,0.07904969195660952-0.0007153645154074492i,0.0785415394665875,0.06123359021000344
41,3,24,805.0181274414062+50.3015251159668i,354.9661560058594+61.88040924072266i,2.224959716157144-0.2461640108092927i,0.1312654512070326-0.07494907627556946i,0.07842556056660718-0.0004053463928218273i,0.0785415394665875,0.06123359021000344
41,3,24,804.2772827148438+53.93603515625i,355.3029479980469+58.21568298339844i,2.228679185757202-0.2133617134916272i,0.2028999892696085-0.01056834739308934i,0.07957758878090589-0.0005204758028562262i,0.0785415394665875,0.06123359021000344
41,3,24,803.3150634765625+60.01893615722656i,356.0285949707031+52.00323104858398i,2.233297980329909-0.1576271555345819i,0.2285787414690409+0.06004749775724341i,0.07931904899403942-0.0008184759553189342i,0.0785415394665875,0.06123359021000344
41,3,24,802.2928466796875+62.37166213989258i,358.4185791015625+49.10614013671875i,2.220583364797297-0.1302181819762325i,0.2302905506508932+0.1079962095763754i,0.07703969528988271+0.0002672349557362895i,0.0785415394665875,0.06123359021000344
41,3,24,803.09326171875+64.60044097900391i,357.20166015625+47.50784301757812i,2.232847336876597-0.1161173768492663i,0.2261123860163552+0.1294363813377011i,0.07736679700226863+0.0002184043657435268i,0.0785415394665875,0.06123359021000344
41,3,24,801.601318359375+66.01296997070312i,358.3796997070312+45.60102462768555i,2.224164807942986-0.09880923568294876i,0.2230643427802091+0.1292059265755004i,0.07801485684716337-0.001118891633449661i,0.0785415394665875,0.06123359021000344
41,3,24,798.9409790039062+58.77438354492188i,361.4087524414062+36.26011657714844i,2.204752839238856-0.05857691958666748i,0.2211234646438212+0.1136212240783199i,0.07840508214735049-0.0007091109890724029i,0.0785415394665875,0.06123359021000344
41,3,24,798.2359619140625+61.14006042480469i,362.4692993164062+35.53668975830078i,2.197630375516185-0.04678037137299844i,0.2177984700631869+0.08872095154659559i,0.0770334566502902-0.0006872991057214872i,0.0785415394665875,0.06123359021000344
41,3,24,799.9090576171875+57.21775817871094i,361.5245666503906+38.74198913574219i,2.204246613453071-0.0779452982497725i,0.2109697058134298+0.05993679846340369i,0.07754357993707588-0.001292232057241424i,0.0785415394665875,0.06123359021000344
41,3,24,798.8265380859375+58.34560394287109i,361.8316650390625+37.32516479492188i,2.200943109077626-0.06579015218341679i,0.2000513382211665+0.03173740161210327i,0.07745289433427895-0.0006341702345417683i,0.0785415394665875,0.06123359021000344
41,3,24,797.4655151367188+59.15486145019531i,363.4870300292969+35.54512023925781i,2.188913626001563-0.05130949673191043i,0.1859671199588017+0.007218139804836069i,0.07623731933449321-0.0005381519976823749i,0.0785415394665875,0.06123359021000344
41,3,24,799.0813598632812+40.70571899414062i,364.191650390625+29.16797637939453i,2.189033624282878-0.06354885409321985i,0.1705141911704099-0.01206163360207985i,0.076059430284835-0.001015690229870989i,0.0785415394665875,0.06123359021000344
41,3,24,797.7340087890625+41.65328979492188i,365.1703796386719+26.33140754699707i,2.181435567077662-0.04323181736409064i,0.155631024160875-0.0258715672666593i,0.07675837458258007-0.001561732084648402i,0.0785415394665875,0.06123359021000344
41,3,24,796.580078125+41.09006500244141i,367.17041015625+25.41928863525391i,2.166872669412788-0.03810300729639889i,0.1428895278979918-0.03484768934129878i,0.07557141066905992-0.001105746884668799i,0.0785415394665875,0.06123359021000344
41,3,24,795.6507568359375+41.430419921875i,366.5806884765625+26.88495826721191i,2.167098081999124-0.04591600731499684i,0.133295014701497-0.03998055968468771i,0.07469140800535509-0.0009370882322949761i,0.0785415394665875,0.06123359021000344
